base,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,,base-cu-opt,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill
time,245.7191572,212.4661324,245.305002,246.5358422,244.1754334,267.5249226,325.7236226,210.8025801,224.5140114,234.4248681,,time,226.7225636,198.6017435,230.9256308,227.5441866,225.6705275,243.2741032,288.2305677,200.9989796,209.1535676,216.1037657
SSIM,0.813283689,0.75094,0.9434859,0.9070011,0.6002864,0.8559961,0.9269442,0.917029,0.7811081,0.6367624,,SSIM,0.813497022,0.751097,0.9430245,0.9070016,0.6008179,0.8556481,0.9279406,0.9171547,0.7823837,0.6364051
PSNR,27.72200203,25.1253319,32.5070686,29.3706417,21.5745068,27.4230652,31.7824078,31.8207569,26.8944187,22.9998207,,PSNR,27.73953882,25.163435,32.3935051,29.3625126,21.5779991,27.4432049,31.8827152,31.847599,26.9874878,22.9973907
LPIPS,0.232222356,0.2552213,0.1979816,0.2048921,0.3482381,0.1402808,0.1286024,0.2276653,0.230343,0.3567766,,LPIPS,0.232265244,0.2555668,0.198203,0.2048388,0.3478968,0.1404561,0.1274084,0.2276316,0.229495,0.3588907
final number of Gaussians,773776,942057,504779,365445,1038501,1045824,606463,400415,998986,1061514,,final number of Gaussians,773399,940857,500517,365678,1043574,1044935,606248,399809,997293,1061680
peak number of Gaussians,773776,942057,504779,365445,1038501,1045824,606463,400415,998986,1061514,,peak number of Gaussians,773399,940857,500517,365678,1043574,1044935,606248,399809,997293,1061680
,,,,,,,,,,,,,,,,,,,,,,
base,average,drjohnson,playroom,,,,,,,,,base-cu-opt,average,drjohnson,playroom,,,,,,,
time,201.8031012,239.2499976,164.3562047,,,,,,,,,time,186.3384058,218.8375847,153.839227,,,,,,,
SSIM,0.9088222,0.9075381,0.9101063,,,,,,,,,SSIM,0.90958715,0.9078577,0.9113166,,,,,,,
PSNR,30.09377955,29.7564125,30.4311466,,,,,,,,,PSNR,30.0908432,29.7710571,30.4106293,,,,,,,
LPIPS,0.24930255,0.2449256,0.2536795,,,,,,,,,LPIPS,0.25028975,0.2459198,0.2546597,,,,,,,
final number of Gaussians,731485,1056427,406543,,,,,,,,,final number of Gaussians,731278.5,1057288,405269,,,,,,,
peak number of Gaussians,731485,1056427,406543,,,,,,,,,peak number of Gaussians,731278.5,1057288,405269,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
base,average,train,truck,,,,,,,,,base-cu-opt,average,train,truck,,,,,,,
time,175.8140491,177.9733467,173.6547515,,,,,,,,,time,155.4342997,157.3822517,153.4863477,,,,,,,
SSIM,0.85387525,0.8225525,0.885198,,,,,,,,,SSIM,0.853543,0.8218424,0.8852436,,,,,,,
PSNR,24.15697195,22.6124802,25.7014637,,,,,,,,,PSNR,24.1497822,22.580513,25.7190514,,,,,,,
LPIPS,0.18409995,0.2143391,0.1538608,,,,,,,,,LPIPS,0.1845706,0.2149039,0.1542373,,,,,,,
final number of Gaussians,491895,477260,506530,,,,,,,,,final number of Gaussians,490593,474837,506349,,,,,,,
peak number of Gaussians,491895,477260,506530,,,,,,,,,peak number of Gaussians,490593,474837,506349,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LAG,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,,LAG-cu-opt,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill
time,215.4297143,178.5554609,238.1235442,240.8795128,191.3721142,219.1239426,318.1848695,199.7866032,170.4985988,182.3427825,,time,200.0548694,167.6189933,223.131392,220.8988545,178.9213593,200.6608717,282.4779606,193.8961351,163.5295377,169.3587203
SSIM,0.806215233,0.7342911,0.9433247,0.9059286,0.5882974,0.8434551,0.9278196,0.9159715,0.7687731,0.628076,,SSIM,0.806025933,0.7335987,0.9433794,0.9057236,0.5888082,0.8431908,0.9276537,0.9162307,0.7686093,0.627039
PSNR,27.65476566,24.9238987,32.5294952,29.3041344,21.4500637,27.1530704,31.9806156,31.8556252,26.7437973,22.9521904,,PSNR,27.62351567,24.885479,32.5049973,29.2895908,21.4540844,27.1506119,31.9029255,31.8164196,26.697258,22.9102745
LPIPS,0.245104789,0.2795377,0.198604,0.2072043,0.3655069,0.1630078,0.1283924,0.2311698,0.2538461,0.3786741,,LPIPS,0.245279433,0.2801192,0.1984856,0.2075086,0.3657472,0.1628295,0.1287517,0.2307851,0.2537044,0.3795836
final number of Gaussians,474905,573258,437580,310152,522032,611898,529405,287121,517575,485124,,final number of Gaussians,474705.7778,576248,437735,310323,521446,610101,528287,287103,519737,481372
peak number of Gaussians,474905,573258,437580,310152,522032,611898,529405,287121,517575,485124,,peak number of Gaussians,474705.7778,576248,437735,310323,521446,610101,528287,287103,519737,481372
,,,,,,,,,,,,,,,,,,,,,,
LAG,average,drjohnson,playroom,,,,,,,,,LAG-cu-opt,average,drjohnson,playroom,,,,,,,
time,160.517639,175.8876648,145.1476133,,,,,,,,,time,150.0345697,162.1468494,137.9222901,,,,,,,
SSIM,0.9059623,0.9016496,0.910275,,,,,,,,,SSIM,0.90655485,0.9027823,0.9103274,,,,,,,
PSNR,30.098938,29.6123772,30.5854988,,,,,,,,,PSNR,30.10427665,29.6998329,30.5087204,,,,,,,
LPIPS,0.26211785,0.26355,0.2606857,,,,,,,,,LPIPS,0.2614853,0.2632634,0.2597072,,,,,,,
final number of Gaussians,298190,386538,209842,,,,,,,,,final number of Gaussians,297311,385756,208866,,,,,,,
peak number of Gaussians,298190,386538,209842,,,,,,,,,peak number of Gaussians,297311,385756,208866,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LAG,average,train,truck,,,,,,,,,LAG-cu-opt,average,train,truck,,,,,,,
time,151.6549191,151.8311477,151.4786906,,,,,,,,,time,135.5068645,136.2902896,134.7234395,,,,,,,
SSIM,0.84592935,0.8113862,0.8804725,,,,,,,,,SSIM,0.8463255,0.8120204,0.8806306,,,,,,,
PSNR,24.00596235,22.4588947,25.55303,,,,,,,,,PSNR,24.0002432,22.4371281,25.5633583,,,,,,,
LPIPS,0.1980829,0.2316652,0.1645006,,,,,,,,,LPIPS,0.1984302,0.2322928,0.1645676,,,,,,,
final number of Gaussians,316614,307416,325812,,,,,,,,,final number of Gaussians,313880,304543,323217,,,,,,,
peak number of Gaussians,316614,307416,325812,,,,,,,,,peak number of Gaussians,313880,304543,323217,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
prune,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,,prune-cu-opt,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill
time,233.6935674,202.2623506,236.7242618,238.9680855,226.8277745,255.7465019,308.5022533,204.1251357,210.8959191,219.1898246,,time,216.9348077,189.7065482,223.3121009,222.3768761,210.2986424,232.7778742,276.5899651,196.2080193,197.9699867,203.1732566
SSIM,0.813101289,0.7508929,0.9419522,0.9063629,0.5997255,0.8554346,0.9274058,0.9148601,0.7837449,0.6375327,,SSIM,0.813161944,0.7507803,0.9431621,0.9063151,0.6007539,0.8551657,0.9272166,0.9160414,0.7828251,0.6361973
PSNR,27.71629864,25.1363964,32.3968277,29.3139153,21.5438156,27.4346867,31.944828,31.6862221,26.9792538,23.0107422,,PSNR,27.72532504,25.1397552,32.5330925,29.2633743,21.5822525,27.3977299,31.8313408,31.8597469,26.9497795,22.9708538
LPIPS,0.234027944,0.2569442,0.2006897,0.2070725,0.3505038,0.1420575,0.1295735,0.2298031,0.2298014,0.3598058,,LPIPS,0.234226767,0.2569665,0.2003293,0.2069053,0.3501666,0.1423142,0.1296849,0.2295698,0.2305439,0.3615604
final number of Gaussians,628392.7778,787847,410323,315412,796511,903867,486197,336367,807120,811891,,final number of Gaussians,627304.2222,788292,411203,315142,798958,901769,486268,335472,804888,803746
peak number of Gaussians,773965.3333,948216,498867,365498,1041767,1045927,603775,399441,1000823,1061374,,peak number of Gaussians,772542.4444,945918,497505,364770,1046217,1042192,605744,399636,995388,1055512
,,,,,,,,,,,,,,,,,,,,,,
prune,average,drjohnson,playroom,,,,,,,,,prune-cu-opt,average,drjohnson,playroom,,,,,,,
time,187.5527095,219.498394,155.6070249,,,,,,,,,time,176.4241183,203.969218,148.8790185,,,,,,,
SSIM,0.9092259,0.9068766,0.9115752,,,,,,,,,SSIM,0.90883025,0.9062092,0.9114513,,,,,,,
PSNR,30.11196135,29.6532974,30.5706253,,,,,,,,,PSNR,30.0910435,29.5208092,30.6612778,,,,,,,
LPIPS,0.2516133,0.2476698,0.2555568,,,,,,,,,LPIPS,0.251101,0.2474208,0.2547812,,,,,,,
final number of Gaussians,525873.5,742102,309645,,,,,,,,,final number of Gaussians,525264,740641,309887,,,,,,,
peak number of Gaussians,734404,1062740,406068,,,,,,,,,peak number of Gaussians,734716.5,1060927,408506,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
prune,average,train,truck,,,,,,,,,prune-cu-opt,average,train,truck,,,,,,,
time,164.5779209,164.3704758,164.7853661,,,,,,,,,time,148.1534932,148.6362238,147.6707625,,,,,,,
SSIM,0.852108,0.8196812,0.8845348,,,,,,,,,SSIM,0.85235515,0.8197418,0.8849685,,,,,,,
PSNR,24.24279595,22.4125729,26.073019,,,,,,,,,PSNR,24.2574768,22.4956646,26.019289,,,,,,,
LPIPS,0.1879749,0.2179496,0.1580002,,,,,,,,,LPIPS,0.18786645,0.2184942,0.1572387,,,,,,,
final number of Gaussians,390604,371456,409752,,,,,,,,,final number of Gaussians,392677,372256,413098,,,,,,,
peak number of Gaussians,491664,477369,505959,,,,,,,,,peak number of Gaussians,493128,477901,508355,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LAG+prune,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,,full,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill
time,203.3915522,167.7833116,226.2805555,227.8477075,178.9769228,208.324496,297.3390698,190.6564865,161.6283641,171.6870563,,time,193.5751463,161.1392488,216.5886061,216.102792,171.6803713,194.4353859,270.7395606,188.0520663,158.8917918,164.5464938
SSIM,0.805697756,0.7334204,0.9426798,0.9055196,0.5876164,0.843055,0.9265807,0.9147157,0.76946,0.6282322,,SSIM,0.805748067,0.7336982,0.9426874,0.9054899,0.5884596,0.8428515,0.9267412,0.9142898,0.7702659,0.6272491
PSNR,27.62677638,24.9185562,32.4924622,29.2717037,21.4089279,27.1894245,31.8146763,31.8264217,26.7243786,22.9944363,,PSNR,27.61723051,24.9230118,32.4718628,29.3046055,21.4426613,27.1527252,31.8609695,31.7183399,26.7624702,22.9184284
LPIPS,0.247298433,0.281733,0.2019021,0.2088348,0.3675372,0.1649343,0.1311898,0.2330145,0.2557163,0.3808239,,LPIPS,0.247301911,0.281504,0.2020321,0.2090738,0.3678113,0.1650822,0.1310652,0.2334234,0.2550386,0.3806866
final number of Gaussians,414734.8889,491295,373487,274347,458353,563955,443652,250817,448522,428186,,final number of Gaussians,414582.2222,497282,373156,273582,458165,563006,444852,249644,447684,423869
peak number of Gaussians,474926.3333,568774,438719,310564,519806,612578,527343,286614,521781,488158,,peak number of Gaussians,475236.7778,575605,438628,309712,519602,612606,529721,285820,521282,484155
,,,,,,,,,,,,,,,,,,,,,,
LAG+prune,average,drjohnson,playroom,,,,,,,,,full,average,drjohnson,playroom,,,,,,,
time,150.0259943,162.1236012,137.9283874,,,,,,,,,time,145.1722591,156.1443295,134.2001886,,,,,,,
SSIM,0.90537655,0.9018022,0.9089509,,,,,,,,,SSIM,0.90597765,0.901891,0.9100643,,,,,,,
PSNR,30.10290295,29.6053047,30.6005012,,,,,,,,,PSNR,30.10210895,29.5975647,30.6066532,,,,,,,
LPIPS,0.2628705,0.264989,0.260752,,,,,,,,,LPIPS,0.26308675,0.2659462,0.2602273,,,,,,,
final number of Gaussians,242382.5,302478,182287,,,,,,,,,final number of Gaussians,242193,301975,182411,,,,,,,
peak number of Gaussians,297754.5,385732,209777,,,,,,,,,peak number of Gaussians,297142.5,384908,209377,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LAG+prune,average,train,truck,,,,,,,,,full,average,train,truck,,,,,,,
time,141.9455969,141.7147851,142.1764088,,,,,,,,,time,129.7615798,130.7434666,128.7796929,,,,,,,
SSIM,0.8455147,0.8111148,0.8799146,,,,,,,,,SSIM,0.84468995,0.8093851,0.8799948,,,,,,,
PSNR,24.15545608,22.44717125,25.8637409,,,,,,,,,PSNR,24.1537533,22.4641304,25.8433762,,,,,,,
LPIPS,0.201376925,0.23430875,0.1684451,,,,,,,,,LPIPS,0.20158215,0.2355548,0.1676095,,,,,,,
final number of Gaussians,261268.75,249990.5,272547,,,,,,,,,final number of Gaussians,262246,249399,275093,,,,,,,
peak number of Gaussians,315465.75,306879.5,324052,,,,,,,,,peak number of Gaussians,315897,305663,326131,,,,,,,
